Delegaciones,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
     Aguascalientes,26009,29255,28309,32601,27458,30973,42093,32602,98184,88425,125712,108924,105285,93726,124124,142513
     Baja California,62837,67355,64090,90481,56642,59385,126909,77600,82561,97274,122762,164273,205494,202891,213716,227494
     Baja California Sur,13967,14736,14053,15426,25272,23093,33082,25826,50348,48486,82865,81929,93480,95907,68300,70706
     Campeche,17871,18326,18987,29797,24363,25001,35237,23728,29947,36664,58523,60446,59448,53828,56491,60814
     Coahuila ,53247,61285,78064,110003,107070,113961,192351,107601,182500,198804,222388,233023,242627,239684,230789,277211
     Colima,24920,25590,19364,18299,20187,22108,29057,14985,21498,28315,36996,32394,41447,36536,29712,33503
     Chiapas,30634,38264,37515,46430,20628,19235,43568,44702,71575,73009,71881,59512,63366,64864,59747,69461
     Chihuahua,87122,86720,107589,131382,77613,88882,128243,99741,140363,135309,130411,175581,208354,198166,204922,204631
     D.F. Norte,119339,130219,142125,249334,207940,134794,175886,130713,234391,211729,317873,244416,268777,216045,264916,281630
     D.F. Sur,170473,174782,186745,216305,61101,148187,195415,204447,393621,612340,502496,513242,555085,604678,556077,441636
     Durango,32888,36336,39609,46698,32225,42573,57022,43072,53606,101518,113075,118291,123105,108450,92565,84145
     Guanajuato,111654,117540,102281,165082,132350,152358,259246,176933,223866,286540,324005,304102,388383,348669,188723,171839
     Guerrero,33401,33616,48561,52589,42512,54598,90250,64752,62281,68251,71011,74562,75298,79030,80788,88128
     Hidalgo,31665,27052,32396,104918,49062,29724,47860,38129,44903,50270,78048,106285,121366,99936,94305,99406
     Jalisco,151239,149913,163406,179517,114617,166196,271393,209892,342943,303022,358646,363045,408694,391995,383521,364619
     M‚xico Oriente,156615,160294,167862,247324,195417,183919,277119,220910,299331,459817,593882,595310,611131,480716,443450,404044
     M‚xico Poniente,81819,103539,106091,198160,63497,73118,127338,119665,128290,112753,141618,137618,193744,199067,228441,207046
     Michoac n,63379,59922,54511,86673,60521,65733,110792,74332,93627,85466,113879,168381,217888,210565,197571,214700
     Morelos,42429,40785,36530,51254,39942,26286,43012,40773,56474,75909,82798,80392,94016,90759,85564,74625
     Nayarit,21301,21418,21221,21435,32546,28091,44748,50440,52290,48175,56079,75436,78089,73383,74731,73416
     Nuevo Le¢n,149235,151800,176144,282591,144257,172788,296301,143201,449018,439931,569132,566259,621274,603381,507895,527647
     Oaxaca,39203,39087,36316,33636,24671,18841,32623,22202,36174,36752,45274,55552,54982,54792,59433,59175
     Puebla,82622,79210,79376,105728,127540,66484,92100,96590,240554,198685,223797,211127,222167,204463,193141,227876
     Quer‚taro,27021,28728,32141,88796,63193,43215,79638,77426,114534,100970,121116,122070,131458,156659,159683,142242
     Quintana Roo,27419,26894,27423,33472,25182,23544,48538,38507,48785,76033,77902,57424,67157,67724,62018,71886
     San Luis Potos¡,40457,55963,76918,69674,59930,79321,93712,96344,136981,132111,157151,152959,157535,155819,178012,172686
     Sinaloa,86933,99320,93196,93278,83726,67794,108822,71431,89382,108772,129374,170996,170059,164226,154091,185853
     Sonora,53320,54691,62975,70603,43932,46609,93483,61701,73608,89417,80200,96971,141732,178964,206055,248149
     Tabasco,20408,27576,26517,36396,20514,28911,42402,42606,60363,64434,69776,69700,96576,97800,96497,83517
     Tamaulipas,91848,93449,125356,117465,106248,97420,138342,74066,120738,119719,168315,137028,163402,157174,164568,181036
     Tlaxcala,21906,25437,28348,27892,16631,14353,21145,22790,27533,32227,40549,54310,53746,54056,57169,59977
     Veracruz Norte,94400,94141,87030,124928,95954,86676,125403,141682,216745,223681,252010,266913,287075,308828,282671,349413
     Veracruz Sur,77494,58443,71495,97950,74165,68105,97517,92901,130805,117874,166378,162685,202697,174231,154139,155221
     Yucat n,38885,37366,40445,55261,42185,51206,82446,51645,88210,92371,119822,109279,113812,119008,111119,98894
     Zacatecas,18015,21904,21088,24056,32645,29042,33239,21604,26112,27573,37151,35629,41864,45586,43498,39783
Total,2201975,2290956,2454077,3355434,2351736,2382524,3716332,2855539,4522141,4982626,5862895,5966064,6680613,6431606,6108442,6194922
